X,Y,NROBARRIO,BARRIO,CODBA
-56.185075270899887,-34.764041875615639,32,MANGA TOLEDO CHICO,MT
-56.184216098430795,-34.763787373603492,32,MANGA TOLEDO CHICO,MT
-56.18327752440436,-34.763145481827756,32,MANGA TOLEDO CHICO,MT
-56.182496274693612,-34.762827652491076,32,MANGA TOLEDO CHICO,MT
-56.181483049733714,-34.762961162852541,32,MANGA TOLEDO CHICO,MT
-56.181250194268728,-34.763281805724425,32,MANGA TOLEDO CHICO,MT
-56.180939000939318,-34.763476467665257,32,MANGA TOLEDO CHICO,MT
-56.180391127100528,-34.762964177910838,32,MANGA TOLEDO CHICO,MT
-56.179454920388324,-34.762899149756308,32,MANGA TOLEDO CHICO,MT
-56.178674721972435,-34.762838193650651,32,MANGA TOLEDO CHICO,MT
-56.178205976340777,-34.762645676055463,32,MANGA TOLEDO CHICO,MT
-56.17812496664996,-34.761938294098712,32,MANGA TOLEDO CHICO,MT
-56.177734391402112,-34.761745560573246,32,MANGA TOLEDO CHICO,MT
-56.17843487324695,-34.761423643621299,32,MANGA TOLEDO CHICO,MT
-56.178901542067493,-34.761102364552649,32,MANGA TOLEDO CHICO,MT
-56.178197693897417,-34.760585985549213,32,MANGA TOLEDO CHICO,MT
-56.178153926178879,-34.760396810065686,32,MANGA TOLEDO CHICO,MT
-56.177959417521585,-34.759559034517061,32,MANGA TOLEDO CHICO,MT
-56.178659695159666,-34.759106412837504,32,MANGA TOLEDO CHICO,MT
-56.179203115856687,-34.758523514122565,32,MANGA TOLEDO CHICO,MT
-56.179747143315169,-34.758008216787502,32,MANGA TOLEDO CHICO,MT
-56.179431819325735,-34.757175282663745,32,MANGA TOLEDO CHICO,MT
-56.179507818607306,-34.756724370323752,32,MANGA TOLEDO CHICO,MT
-56.179349750418858,-34.756206495803447,32,MANGA TOLEDO CHICO,MT
-56.178802969437037,-34.755951096078121,32,MANGA TOLEDO CHICO,MT
-56.178333755050211,-34.755632382906839,32,MANGA TOLEDO CHICO,MT
-56.177632726961278,-34.755891202399134,32,MANGA TOLEDO CHICO,MT
-56.176852072413375,-34.755699531505684,32,MANGA TOLEDO CHICO,MT
-56.176458628871764,-34.754866802257716,32,MANGA TOLEDO CHICO,MT
-56.177159633999693,-34.754603482525965,32,MANGA TOLEDO CHICO,MT
-56.176611753619923,-34.754154273247373,32,MANGA TOLEDO CHICO,MT
-56.176141783551273,-34.753641750922128,32,MANGA TOLEDO CHICO,MT
-56.175828815186762,-34.753385701105643,32,MANGA TOLEDO CHICO,MT
-56.175905423983515,-34.752997887546698,32,MANGA TOLEDO CHICO,MT
-56.175825487382568,-34.752551908136446,32,MANGA TOLEDO CHICO,MT
-56.175746378496164,-34.752227616428584,32,MANGA TOLEDO CHICO,MT
-56.175432392662962,-34.751714667061016,32,MANGA TOLEDO CHICO,MT
-56.175118913289936,-34.751327912553513,32,MANGA TOLEDO CHICO,MT
-56.174260153385198,-34.751136436587885,32,MANGA TOLEDO CHICO,MT
-56.17301216900303,-34.751076708527933,32,MANGA TOLEDO CHICO,MT
-56.172072812024325,-34.750177828977343,32,MANGA TOLEDO CHICO,MT
-56.171524832647215,-34.749602399386355,32,MANGA TOLEDO CHICO,MT
-56.171053147283757,-34.74863915723715,32,MANGA TOLEDO CHICO,MT
-56.171049336367219,-34.747670153320435,32,MANGA TOLEDO CHICO,MT
-56.171120732681636,-34.747340947869915,32,MANGA TOLEDO CHICO,MT
-56.17135568640785,-34.746254120524753,32,MANGA TOLEDO CHICO,MT
-56.171353415676698,-34.745677224980739,32,MANGA TOLEDO CHICO,MT
-56.1714292005584,-34.7451632186579,32,MANGA TOLEDO CHICO,MT
-56.170722755019547,-34.74393919526532,32,MANGA TOLEDO CHICO,MT
-56.169940727492751,-34.743364383972754,32,MANGA TOLEDO CHICO,MT
-56.168844273747858,-34.742141389887905,32,MANGA TOLEDO CHICO,MT
-56.168449710210218,-34.740984127888893,32,MANGA TOLEDO CHICO,MT
-56.168523845939561,-34.739956323743236,32,MANGA TOLEDO CHICO,MT
-56.168052742730829,-34.739119263964703,32,MANGA TOLEDO CHICO,MT
-56.16773585560923,-34.737835595362554,32,MANGA TOLEDO CHICO,MT
-56.168043228070594,-34.736676467770927,32,MANGA TOLEDO CHICO,MT
-56.167963886442273,-34.736455832802619,32,MANGA TOLEDO CHICO,MT
-56.167648947801453,-34.735582299986,32,MANGA TOLEDO CHICO,MT
-56.167178893927428,-34.735006642398503,32,MANGA TOLEDO CHICO,MT
-56.166148432765802,-34.734220631343135,32,MANGA TOLEDO CHICO,MT
-56.166084092478101,-34.734171223498507,32,MANGA TOLEDO CHICO,MT
-56.165689230194992,-34.733004937442026,32,MANGA TOLEDO CHICO,MT
-56.162489350482439,-34.728195282081685,32,MANGA TOLEDO CHICO,MT
-56.159999005809667,-34.723888494643901,32,MANGA TOLEDO CHICO,MT
-56.155747606610994,-34.721244760465893,32,MANGA TOLEDO CHICO,MT
