X,Y,COD_NOMBRE,COD_NOMB_1
-56.128944491494629,-34.71861049378046,8000,6481
-56.212116359734672,-34.809411927361374,6891,3519
-56.212935663095529,-34.810482113805932,6891,6891
-56.22622457295288,-34.800386080588879,762,6399
-56.253680075849836,-34.8954837048732,6690,5595
-56.253302056556443,-34.895435400484317,6690,6690
-56.227463277777304,-34.801224998301009,363,363
-56.228857646875937,-34.80093195646139,363,7425
-56.244972827049622,-34.793984524987906,3186,3003
-56.242294720934069,-34.801308148520334,3726,3918
-56.226802759663798,-34.801357776753797,363,363
-56.241943239595344,-34.801575208618701,3918,3918
-56.122248840934304,-34.801798893908966,1382,1412
-56.259526934190248,-34.889293917636465,4989,4989
-56.267405907445401,-34.88446239326268,5173,5173
-56.267810523830732,-34.884506054555402,5173,5164
-56.272274053592682,-34.883021178069853,1405,9291
-56.272076085250667,-34.883341865662402,1405,1426
-56.266355961436368,-34.881820477519902,5558,1426
-56.260698642295559,-34.872235710025777,905,2274
-56.261764721957285,-34.872380785799628,905,2727
-56.276111448849264,-34.88002138843747,8970,9405
-56.275931405157579,-34.879995071759467,8970,8980
-56.273579186389277,-34.875197068982523,4584,7764
-56.265383435802413,-34.870881029542154,1410,1410
-56.265513743666098,-34.870898606253697,1410,8723
-56.265567448177187,-34.870907434196511,1410,1410
-56.25471821352577,-34.871025636108641,5650,5650
-56.25420485107751,-34.870955255600826,5650,911
-56.253178515098753,-34.870823500629378,5650,6171
-56.253720243214353,-34.870893790041734,5650,9209
-56.267155203009558,-34.858425019406191,230,230
-56.267750784636107,-34.858505785244553,230,6106
-56.267640290519843,-34.859055534925808,6106,9523
-56.275839583477932,-34.863299793176317,9474,8000
-56.275178867361703,-34.863211995710756,9474,9474
-56.274533460626245,-34.863110619720821,9474,9474
-56.275740060193591,-34.86380942955536,9469,9469
-56.229228371828505,-34.802089282977789,7425,1674
-56.271706977627872,-34.861083444745375,1095,1095
-56.272680826615598,-34.861260298074171,1095,8000
-56.294175668376788,-34.766878989504789,3799,3799
-56.222011513305304,-34.769548770744144,408,7022
-56.221856236444665,-34.769558265863878,408,145
-56.259870016812378,-34.786187101224215,1329,1329
-56.259418709201675,-34.785449492496483,1329,3276
-56.29449544232925,-34.825590217836201,831,831
-56.294578181140615,-34.825666530151786,831,831
-56.218509598329817,-34.801739585803993,7269,7269
-56.217771175517996,-34.802170016099232,7269,2673
-56.229650355588177,-34.813963855953212,2472,734
-56.22993162903694,-34.813782686467604,2472,2472
